personName,gender,dob,Category
"Cathy Bocook",female,2008-09-02,YoungFemale
"Joseph Foglesong",male,1965-04-11,ElderMale
"Phillip Mackey",male,1963-12-01,ElderMale
"Douglas Robertson",male,2017-10-02,YoungMale
"Mike Pray",male,1956-04-11,ElderMale
"Joe Brice",male,1954-04-21,ElderMale
"Thomas Boyle",male,1965-02-11,ElderMale
"Herman Buchner",male,1965-06-06,ElderMale
"Anthony Reagan",male,1954-03-28,ElderMale
"Lucretia Holmes",female,1962-01-20,ElderFemale
"Stephen Bergeron",male,1959-06-16,ElderMale
"Natasha Harrison",female,1949-04-06,ElderFemale
"Clarence Lee",male,2022-03-29,YoungMale
"Essie Moroz",female,1986-07-05,AdultFemale
"Elvira Cummins",female,1936-11-02,ElderFemale
"Madge Hancock",female,2019-04-05,YoungFemale
"Raymond Blakey",male,1951-10-26,ElderMale
"Jason Riecke",male,2021-11-01,YoungMale
"Kelly Gill",female,1935-09-12,ElderFemale
"Bryant Embrey",male,1954-07-05,ElderMale
"John Morgan",male,1974-06-30,MidAgeMale
"Todd Calhoun",male,1968-07-05,ElderMale
"Shelby Dittrick",female,1963-10-01,ElderFemale
"Alvin Thompson",male,2015-06-10,YoungMale
"Roderick Mueller",male,2009-04-17,YoungMale
"Robert Crowder",male,1960-03-06,ElderMale
"Kenneth Esquerra",male,2014-01-16,YoungMale
"Richard Mcgregor",male,1959-12-28,ElderMale
"Karen Miller",female,1963-12-29,ElderFemale
"Raymond Brenton",male,1954-09-20,ElderMale
"Jo Ellington",female,1986-11-16,AdultFemale
"Billy Rave",male,1952-01-23,ElderMale
"John Simmons",male,1961-12-01,ElderMale
"Jimmy Williams",male,1991-05-10,AdultMale
"Zandra Post",female,2018-03-13,YoungFemale
"Bryan Fazzone",male,1948-05-05,ElderMale
"Marc Wester",male,1955-06-18,ElderMale
"Thomas Evans",male,1980-01-31,MidAgeMale
"Gary Rivas",male,2019-04-09,YoungMale
"Sandy Ford",female,1948-10-26,ElderFemale
"Katherine Balder",female,1968-09-16,ElderFemale
"Melvin Rodriguez",male,1964-11-14,ElderMale
"Robert Cressman",male,2019-08-09,YoungMale
"David Lester",male,1962-09-01,ElderMale
"Andrea Chavez",female,1962-09-17,ElderFemale
